True-Values,Predicted-Values
-0.3999999999999999,-0.06699999999999993
0.40000000000000013,0.11400000000000014
-0.19999999999999996,-0.3899999999999996
0.30000000000000004,-0.13399999999999995
0.10000000000000009,-0.031999999999999945
0.5,-0.09799999999999998
-0.09999999999999998,-0.05899999999999997
-0.09999999999999998,-0.06199999999999997
0.10000000000000009,-0.184
-0.8,0.006000000000000061
0.30000000000000004,-0.04299999999999996
-0.29999999999999993,0.019000000000000065
-0.3999999999999999,-0.041999999999999954
-0.29999999999999993,-0.10199999999999995
-0.09999999999999998,-0.22100000000000017
-0.3999999999999999,-0.17099999999999993
0.40000000000000013,-0.05099999999999994
0.10000000000000009,-0.26099999999999995
0.30000000000000004,0.010000000000000073
0.30000000000000004,-0.11699999999999992
0.10000000000000009,-0.01699999999999994
0.30000000000000004,-0.030999999999999948
0.20000000000000018,-0.012999999999999947
-0.19999999999999996,-0.07699999999999992
-0.3999999999999999,-0.16999999999999993
-0.19999999999999996,0.027000000000000027
-0.09999999999999998,-0.025999999999999933
-0.7,-0.030999999999999937
-0.09999999999999998,-0.26599999999999996
-0.3999999999999999,-0.03699999999999993
0.10000000000000009,-0.03399999999999996
0.10000000000000009,-0.012999999999999946
-0.3999999999999999,-0.041999999999999975
-0.5,-0.08799999999999994
0.40000000000000013,-0.16399999999999995
-0.29999999999999993,-0.15399999999999994
-0.09999999999999998,0.09600000000000004
-0.5,-0.06699999999999993
-0.3999999999999999,-0.18500000000000003
-0.6,-0.15999999999999986
0.30000000000000004,-0.049999999999999926
-0.3999999999999999,-0.1309999999999999
0.7000000000000002,-0.175
0.5,-0.027999999999999962
0.0,0.09400000000000004
0.0,-0.015999999999999934
-0.29999999999999993,-0.15
0.30000000000000004,-0.12499999999999994
-0.29999999999999993,0.06700000000000007
0.20000000000000018,0.04800000000000005
-0.5,-0.039999999999999945
-0.3999999999999999,-0.04899999999999995
-0.09999999999999998,-0.023999999999999945
0.5,-0.07399999999999993
-0.5,-0.20299999999999996
0.20000000000000018,-0.006999999999999924
-0.29999999999999993,-0.014999999999999942
-0.19999999999999996,0.013000000000000062
-0.09999999999999998,-0.12799999999999997
0.20000000000000018,-0.11999999999999997
-0.29999999999999993,-0.1299999999999999
0.20000000000000018,-0.28699999999999987
0.0,-0.2759999999999999
0.10000000000000009,-0.060999999999999985
0.0,-0.198
-0.09999999999999998,-0.126
-0.09999999999999998,-0.0039999999999999316
-0.8,-0.17200000000000004
-0.29999999999999993,0.003000000000000046
0.20000000000000018,-0.2689999999999998
0.10000000000000009,0.09100000000000008
0.7000000000000002,-0.06599999999999995
0.10000000000000009,-0.05199999999999992
0.10000000000000009,0.05600000000000007
0.10000000000000009,0.011000000000000057
-0.29999999999999993,-0.15400000000000003
